KeywordID,Keyword,ScopeNote,Source,gdsdpwgCategory
2493,3-D,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
8510,abandonment,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
1138,abatement,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
1522,abrasion,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
1428,absorption,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
1351,acid,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
1764,acoustic,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
543,adsorption,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
255,agricultural use,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,01
160,alteration,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
44,business,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,03
3817,carbon dioxide,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
104,case study,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
2708,cement,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
390,cooling,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
2,data,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
13,direct use,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,Direct Use
108,document,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
956,bit,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,02.4
21,drilling,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,02
25,economics,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,03
357,element,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
1023,energy,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
368,engineering,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
36,enhanced geothermal,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,07.3
38,environment,,Term from high-frequency tags in NGDS Stategeothermal data metadata; tag cloud extracted 2013-04, approximately 17000 tags analyzed.,
